DEBUG 2025-11-25 15:45:20,412 autoreload File C:\Users\Medserv Africa\schoolsaas\chat\models.py first seen with mtime 1764058919.0061865
DEBUG 2025-11-25 15:45:20,412 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\PIL\ImageText.py first seen with mtime 1764063903.995706
DEBUG 2025-11-25 15:45:20,413 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\worksheet\views.py first seen with mtime 1764063938.1724348
DEBUG 2025-11-25 15:45:20,413 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1764063953.88559
DEBUG 2025-11-25 15:45:20,413 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\pymysql\__init__.py first seen with mtime 1764063901.9233236
DEBUG 2025-11-25 15:45:20,414 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\account\internal\stagekit.py first seen with mtime 1764064066.7608457
DEBUG 2025-11-25 15:45:20,415 autoreload File C:\Python313\Lib\email\mime\base.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,415 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1764063924.7604828
DEBUG 2025-11-25 15:45:20,416 autoreload File C:\Python313\Lib\tokenize.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,416 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1764063949.430176
DEBUG 2025-11-25 15:45:20,417 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_972.py first seen with mtime 1764063865.6917183
DEBUG 2025-11-25 15:45:20,417 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\six.py first seen with mtime 1764063891.9612074
DEBUG 2025-11-25 15:45:20,418 autoreload File C:\Users\Medserv Africa\schoolsaas\academics\__init__.py first seen with mtime 1764058918.8912165
DEBUG 2025-11-25 15:45:20,419 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_27.py first seen with mtime 1764063865.6192057
DEBUG 2025-11-25 15:45:20,419 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\corsheaders\middleware.py first seen with mtime 1764064066.5404997
DEBUG 2025-11-25 15:45:20,420 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\account\apps.py first seen with mtime 1764064066.7353497
DEBUG 2025-11-25 15:45:20,421 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1764063953.6105275
DEBUG 2025-11-25 15:45:20,421 autoreload File C:\Python313\Lib\asyncio\constants.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,422 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1764063953.4084625
DEBUG 2025-11-25 15:45:20,422 autoreload File C:\Python313\Lib\email\_parseaddr.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,423 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\numpy\_core\__init__.py first seen with mtime 1764063908.365422
DEBUG 2025-11-25 15:45:20,423 autoreload File C:\Python313\Lib\email\policy.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,424 autoreload File C:\Python313\Lib\asyncio\protocols.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,424 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\numpy\lib\_nanfunctions_impl.py first seen with mtime 1764063907.6030593
DEBUG 2025-11-25 15:45:20,425 autoreload File C:\Python313\Lib\tempfile.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,425 autoreload File C:\Users\Medserv Africa\schoolsaas\fees\urls.py first seen with mtime 1764058919.1267176
DEBUG 2025-11-25 15:45:20,426 autoreload File C:\Python313\Lib\uuid.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,426 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\reportlab\platypus\flowables.py first seen with mtime 1764063925.7417486
DEBUG 2025-11-25 15:45:20,427 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\js_asset\js.py first seen with mtime 1764064064.1886823
DEBUG 2025-11-25 15:45:20,427 autoreload File C:\Users\Medserv Africa\schoolsaas\certificates\apps.py first seen with mtime 1764058918.9846392
DEBUG 2025-11-25 15:45:20,427 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\utils\units.py first seen with mtime 1764063938.1177037
DEBUG 2025-11-25 15:45:20,428 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\reportlab\pdfbase\ttfonts.py first seen with mtime 1764063925.7226348
DEBUG 2025-11-25 15:45:20,428 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_31.py first seen with mtime 1764063865.6213737
DEBUG 2025-11-25 15:45:20,429 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\numpy\lib\mixins.py first seen with mtime 1764063907.5566528
DEBUG 2025-11-25 15:45:20,429 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\amqp\spec.py first seen with mtime 1764063973.216889
DEBUG 2025-11-25 15:45:20,430 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1764063947.1648047
DEBUG 2025-11-25 15:45:20,430 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\pymysql\constants\CLIENT.py first seen with mtime 1764063901.940118
DEBUG 2025-11-25 15:45:20,430 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\chartsheet\relation.py first seen with mtime 1764063937.9994128
DEBUG 2025-11-25 15:45:20,430 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\numpy\lib\scimath.py first seen with mtime 1764063907.56507
DEBUG 2025-11-25 15:45:20,431 autoreload File C:\Python313\Lib\importlib\_abc.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,431 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_helveticaoblique.py first seen with mtime 1764063925.7001057
DEBUG 2025-11-25 15:45:20,431 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\PIL\_version.py first seen with mtime 1764063904.18487
DEBUG 2025-11-25 15:45:20,432 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1764063953.4255426
DEBUG 2025-11-25 15:45:20,432 autoreload File C:\Users\Medserv Africa\schoolsaas\library\apps.py first seen with mtime 1764058919.2453077
DEBUG 2025-11-25 15:45:20,432 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1764063952.5127225
DEBUG 2025-11-25 15:45:20,433 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\billiard\__init__.py first seen with mtime 1764063922.772284
DEBUG 2025-11-25 15:45:20,433 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\cryptography\hazmat\primitives\serialization\ssh.py first seen with mtime 1764064082.4901884
DEBUG 2025-11-25 15:45:20,433 autoreload File C:\Users\Medserv Africa\schoolsaas\tenants\__init__.py first seen with mtime 1764058919.5921547
DEBUG 2025-11-25 15:45:20,434 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\dateutil\parser\isoparser.py first seen with mtime 1764063930.5896287
DEBUG 2025-11-25 15:45:20,434 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\account\internal\flows\reauthentication.py first seen with mtime 1764064066.773014
DEBUG 2025-11-25 15:45:20,434 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1764063948.826116
DEBUG 2025-11-25 15:45:20,435 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\ed25519.py first seen with mtime 1764064082.440884
DEBUG 2025-11-25 15:45:20,435 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1764063953.4319289
DEBUG 2025-11-25 15:45:20,435 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\workbook\properties.py first seen with mtime 1764063938.1274023
DEBUG 2025-11-25 15:45:20,436 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\reader\__init__.py first seen with mtime 1764063938.0747318
DEBUG 2025-11-25 15:45:20,436 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\sites\admin.py first seen with mtime 1764063952.900014
DEBUG 2025-11-25 15:45:20,436 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\vine\promises.py first seen with mtime 1764063888.2084293
DEBUG 2025-11-25 15:45:20,436 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1764063953.9902909
DEBUG 2025-11-25 15:45:20,437 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1764063953.5322807
DEBUG 2025-11-25 15:45:20,437 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1764063953.9783258
DEBUG 2025-11-25 15:45:20,437 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\guardian\templatetags\__init__.py first seen with mtime 1764064064.4025545
DEBUG 2025-11-25 15:45:20,437 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1764063953.9867878
DEBUG 2025-11-25 15:45:20,438 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\ckeditor\widgets.py first seen with mtime 1764064085.666496
DEBUG 2025-11-25 15:45:20,438 autoreload File C:\Python313\Lib\ast.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,438 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\widget_tweaks\models.py first seen with mtime 1764063921.2926936
DEBUG 2025-11-25 15:45:20,439 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_81.py first seen with mtime 1764063865.6721995
DEBUG 2025-11-25 15:45:20,439 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1764063953.8975463
DEBUG 2025-11-25 15:45:20,440 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\drawing\spreadsheet_drawing.py first seen with mtime 1764063938.0465305
DEBUG 2025-11-25 15:45:20,440 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1764063953.6737735
